date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:23	128/128	---MC-	200	added ('OK')	text/plain	date:Sat,%2009%20Mar%202024%2008:09:19%20GMT	https://www.fotobudka-obiektywna.pl/robots.txt		(from )
09:09:23	139803/139803	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Mar%202024%2008:09:19%20GMT	https://www.fotobudka-obiektywna.pl/	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/index.html	(from )
09:09:24	886/886	---M--	200	added ('OK')	image/png	etag:%22376-591285b2dc980%22	https://www.fotobudka-obiektywna.pl/wp-content/uploads/2019/08/dailybooth-logo.png	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-content/uploads/2019/08/dailybooth-logo.png	(from https://www.fotobudka-obiektywna.pl/)
09:09:24	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f680c224ed40%22	https://www.fotobudka-obiektywna.pl/wp-includes/css/dist/block-library/style.min.css?ver=6.2.4	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-includes/css/dist/block-library/style.min0757.css	(from https://www.fotobudka-obiektywna.pl/)
09:09:24	878/878	---MC-	200	added ('OK')	application/rss+xml	etag:%22d41baa11da13db87f5739ffee629314e%22	https://www.fotobudka-obiektywna.pl/feed/	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/feed/index.html	(from https://www.fotobudka-obiektywna.pl/)
09:09:24	291/291	---M--	200	added ('OK')	text/css	etag:%22123-5f49afeb578c0%22	https://www.fotobudka-obiektywna.pl/wp-includes/css/classic-themes.min.css?ver=6.2.4	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-includes/css/classic-themes.min0757.css	(from https://www.fotobudka-obiektywna.pl/)
09:09:24	773/773	---MC-	200	added ('OK')	application/rss+xml	etag:%22d41baa11da13db87f5739ffee629314e%22	https://www.fotobudka-obiektywna.pl/comments/feed/	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/comments/feed/index.html	(from https://www.fotobudka-obiektywna.pl/)
09:09:24	2859/2859	---M--	200	added ('OK')	text/css	etag:%22b2b-60213ea2a35d2%22	https://www.fotobudka-obiektywna.pl/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://www.fotobudka-obiektywna.pl/)
09:09:25	442738/442738	---M--	200	added ('OK')	text/css	etag:%226c172-602140315e1ea%22	https://www.fotobudka-obiektywna.pl/wp-content/themes/betheme/css/be.css?ver=27.1.5.1	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-content/themes/betheme/css/be3b45.css	(from https://www.fotobudka-obiektywna.pl/)
09:09:25	59453/59453	---M--	200	added ('OK')	text/css	etag:%22e83d-602140314d849%22	https://www.fotobudka-obiektywna.pl/wp-content/themes/betheme/assets/animations/animations.min.css?ver=27.1.5.1	C:/My%20Web%20Sites/Fotobudka-obiektywna/www.fotobudka-obiektywna.pl/wp-content/themes/betheme/assets/animations/animations.min3b45.css	(from https://www.fotobudka-obiektywna.pl/)
